ORF_ID	ORF	Contig_ID	Contig	Toxin_prediction	Toxin_confidence_level	Signal_peptide	Virulence_prediction	Virulence_confidence_level	ARG	ARG_SNPs	AMR_category	AMR_sub_class	Resistance_mechanism	MGE_prediction	genome_name	newgenome_name	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description	clade	color
0000003869	39_17	0000000039	c_000000000039	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_03_S228	CM6_03	K10816_8	67.3	2.3e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000004029	44_22	0000000044	c_000000000044	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_03_S228	CM6_03	K11063_6	107	9.199999999999999e-32	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000713	3_13	0000000003	c_000000000003	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_07_S232	CM6_07	K03699_483	274.1	3.7999999999999996e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000001496	6_89	0000000006	c_000000000006	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_07_S232	CM6_07	K11063_6	78.9	2.8000000000000003e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002060	10_51	0000000010	c_000000000010	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_07_S232	CM6_07	K11060_3	51.3	1.7e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000003434	26_43	0000000026	c_000000000026	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_07_S232	CM6_07	K11060_3	50.6	2.7e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000003874	37_17	0000000037	c_000000000037	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_07_S232	CM6_07	K10816_8	67.3	2.3e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000004014	42_2	0000000042	c_000000000042	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	unclassified	CM6_07_S232	CM6_07	K11063_6	107	9.3e-32	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000664	2_331	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_80_S239	CM6_80	K03699_483	274.1	3.7999999999999996e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000001624	8_51	0000000008	c_000000000008	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_80_S239	CM6_80	K11060_3	51.3	1.7e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000001989	11_89	0000000011	c_000000000011	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_80_S239	CM6_80	K11063_6	78.9	2.8000000000000003e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002847	21_40	0000000021	c_000000000021	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_80_S239	CM6_80	K11060_3	50.6	2.7e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000003825	39_17	0000000039	c_000000000039	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_80_S239	CM6_80	K10816_8	67.3	2.3e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000003993	45_2	0000000045	c_000000000045	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	unclassified	CM6_80_S239	CM6_80	K11063_6	107	9.199999999999999e-32	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000408	2_58	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_429_S223	d22_429	K11063_6	78.9	3e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000409	2_59	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_429_S223	d22_429	K11060_3	53.6	3.7e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000000409	2_59	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_429_S223	d22_429	K11063_6	83.8	1e-24	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002753	20_18	0000000020	c_000000000020	pathogenic	1: Secreted Toxin	Y	non_pathogenic	-	-	-	-	-	-	ambiguous (phage/chromosome)	d22_429_S223	d22_429	TIGR01593	98.7	6e-29	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	clade_1	#E8A419
0000002753	20_18	0000000020	c_000000000020	pathogenic	1: Secreted Toxin	Y	non_pathogenic	-	-	-	-	-	-	ambiguous (phage/chromosome)	d22_429_S223	d22_429	PF05105.7	148.5	1.9e-44	Phage_holin_4	-	PFAM	Holin family	clade_1	#E8A419
0000002925	22_17	0000000022	c_000000000022	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	d22_429_S223	d22_429	K10816_8	68.9	7.8e-20	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000003124	24_39	0000000024	c_000000000024	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	d22_429_S223	d22_429	K03699_483	274.1	4.1e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000003506	29_51	0000000029	c_000000000029	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	phage	d22_429_S223	d22_429	K11060_3	53.7	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000002529	19_57	0000000019	c_000000000019	pathogenic	1: Secreted Toxin	Y	non_pathogenic	-	-	-	-	-	-	ambiguous (phage/chromosome)	d22_5220_S224	d22_5220	TIGR01593	98.7	6e-29	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	clade_1	#E8A419
0000002529	19_57	0000000019	c_000000000019	pathogenic	1: Secreted Toxin	Y	non_pathogenic	-	-	-	-	-	-	ambiguous (phage/chromosome)	d22_5220_S224	d22_5220	PF05105.7	148.5	1.9e-44	Phage_holin_4	-	PFAM	Holin family	clade_1	#E8A419
0000002990	24_74	0000000024	c_000000000024	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5220_S224	d22_5220	K10816_8	68.9	7.8e-20	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000003049	25_44	0000000025	c_000000000025	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5220_S224	d22_5220	K03699_483	274.1	4.1e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000003232	27_58	0000000027	c_000000000027	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5220_S224	d22_5220	K11063_6	78.9	3.1e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003233	27_59	0000000027	c_000000000027	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5220_S224	d22_5220	K11063_6	83.8	1e-24	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003233	27_59	0000000027	c_000000000027	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5220_S224	d22_5220	K11060_3	53.6	3.7e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000003497	31_22	0000000031	c_000000000031	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	phage	d22_5220_S224	d22_5220	K11060_3	53.7	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000000634	3_145	0000000003	c_000000000003	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5505_S225	d22_5505	K03699_483	274.1	3.9e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000001171	7_121	0000000007	c_000000000007	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5505_S225	d22_5505	K11063_6	115.8	2.1e-34	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002534	21_48	0000000021	c_000000000021	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5505_S225	d22_5505	K11060_3	50.6	2.7e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000002724	23_78	0000000023	c_000000000023	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5505_S225	d22_5505	K11063_6	85	4.1e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002724	23_78	0000000023	c_000000000023	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5505_S225	d22_5505	K11060_3	53.7	3.1e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000002725	23_79	0000000023	c_000000000023	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5505_S225	d22_5505	K11063_6	78.9	2.9e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003922	47_17	0000000047	c_000000000047	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	d22_5505_S225	d22_5505	K10816_8	67.3	2.3e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000000527	3_493	0000000003	c_000000000003	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000000527	3_493	0000000005	c_000000000003	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000001703	3_1669	0000000003	c_000000000003	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K11060_3	53.7	2.9e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000001703	3_1669	0000000005	c_000000000003	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K11060_3	53.7	2.9e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000002552	4_754	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	Ref_Cinnocuum_2959	Cinnocuum_2959	K11063_6	115.3	2.8e-34	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002552	4_754	0000000004	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K11063_6	115.3	2.8e-34	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003244	4_1446	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	Ref_Cinnocuum_2959	Cinnocuum_2959	K11063_6	78.9	2.7e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003244	4_1446	0000000004	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K11063_6	78.9	2.7e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003245	4_1447	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	Ref_Cinnocuum_2959	Cinnocuum_2959	K11063_6	83.8	8.899999999999999e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003245	4_1447	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	Ref_Cinnocuum_2959	Cinnocuum_2959	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000003245	4_1447	0000000004	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K11063_6	83.8	8.899999999999999e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003245	4_1447	0000000004	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000003462	4_1664	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	Ref_Cinnocuum_2959	Cinnocuum_2959	K10816_8	68.9	6.8e-20	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000003462	4_1664	0000000004	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959	Cinnocuum_2959	K10816_8	68.9	6.8e-20	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000001449	1_1449	0000000001	c_000000000001	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46	Cinnocuum_I46	K03699_483	272.2	1.4e-81	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000002631	2_719	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46	Cinnocuum_I46	K10816_8	68.9	7.1e-20	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000002864	2_952	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46	Cinnocuum_I46	K11060_3	53.7	3e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000002864	2_952	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46	Cinnocuum_I46	K11063_6	83.7	9.8e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002865	2_953	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46	Cinnocuum_I46	K11063_6	104.8	4.3e-31	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003639	2_1727	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46	Cinnocuum_I46	K11063_6	117.1	8.5e-35	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000286	1_286	0000000001	c_000000000001	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC	Cinnocuum_LCLUMC	K11063_6	78.9	2.6e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000287	1_287	0000000001	c_000000000001	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC	Cinnocuum_LCLUMC	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000000287	1_287	0000000001	c_000000000001	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC	Cinnocuum_LCLUMC	K11063_6	83.8	8.799999999999999e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
