KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_clade_1	p_clade_3	p_clade_2	p_clade_4	N_clade_1	N_clade_3	N_clade_2	N_clade_4
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P!!!D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0	1	1	NA	M00001!!!M00002!!!M00003!!!M00308!!!M00552!!!M00165!!!M00166!!!M00611!!!M00612	GC_00001510, GC_00001537	1	1	1	1	57	3	36	17
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Nucleotide sugar biosynthesis, glucose => UDP-glucose!!!UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00001!!!M00549!!!M00892!!!M00909	GC_00000548, GC_00001844, GC_00002274	1	1	1	1	57	3	36	17
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Pentose phosphate pathway (Pentose phosphate cycle)	0	1	1	NA	M00001!!!M00004	GC_00001523, GC_00002332, GC_00003330, GC_00004045, GC_00004155, GC_00005598, GC_00007692, GC_00008861	1	1	1	1	57	3	36	17
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Pentose phosphate pathway (Pentose phosphate cycle)!!!UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00001!!!M00004!!!M00892!!!M00909	GC_00001459	1	1	1	1	57	3	36	17
Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0	1	1	NA	M00050	GC_00000833, GC_00000895, GC_00001836, GC_00002061, GC_00002079	1	1	1	1	57	3	36	17
Heme biosynthesis, plants and bacteria, glutamate => heme	0	1	1	NA	M00121	GC_00000948, GC_00001331, GC_00002476, GC_00008972	1	1	1	1	57	3	36	17
Histidine biosynthesis, PRPP => histidine	0	1	1	NA	M00026	GC_00000658, GC_00001053, GC_00001461, GC_00001755, GC_00001788, GC_00001932, GC_00001978, GC_00002168, GC_00002212, GC_00002271, GC_00002427, GC_00002574, GC_00002642, GC_00004135	1	1	1	1	57	3	36	17
Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0	1	1	NA	M00048	GC_00000509, GC_00001263, GC_00001548, GC_00001552, GC_00001565, GC_00001627, GC_00002203, GC_00002401, GC_00003177, GC_00005592	1	1	1	1	57	3	36	17
Inosine monophosphate biosynthesis, PRPP + glutamine => IMP!!!Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0	1	1	NA	M00048!!!M00049	GC_00000621	1	1	1	1	57	3	36	17
Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0	1	1	NA	M00131	GC_00002602	1	1	1	1	57	3	36	17
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate!!!Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0	1	1	NA	M00535!!!M00432	GC_00000045, GC_00002523	1	1	1	1	57	3	36	17
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	0	1	1	NA	M00570	GC_00000801, GC_00002180	1	1	1	1	57	3	36	17
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0	1	1	NA	M00432	GC_00000982	1	1	1	1	57	3	36	17
Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	0	1	1	NA	M00525	GC_00000889	1	1	1	1	57	3	36	17
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0	1	1	NA	M00016	GC_00002460	1	1	1	1	57	3	36	17
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	0	1	1	NA	M00016!!!M00525!!!M00527	GC_00002269	1	1	1	1	57	3	36	17
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	0	1	1	NA	M00016!!!M00525!!!M00526!!!M00527	GC_00000019, GC_00000705, GC_00002038, GC_00002054, GC_00002601, GC_00002863, GC_00009388	1	1	1	1	57	3	36	17
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Ornithine biosynthesis, glutamate => ornithine!!!Arginine biosynthesis, glutamate => acetylcitrulline => arginine	0	1	1	NA	M00016!!!M00028!!!M00845	GC_00001042	1	1	1	1	57	3	36	17
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	0	1	1	NA	M00013	GC_00000453, GC_00001579	1	1	1	1	57	3	36	17
Methionine biosynthesis, apartate => homoserine => methionine	0	1	1	NA	M00017	GC_00000159, GC_00000232, GC_00000605, GC_00000687, GC_00000771, GC_00002424, GC_00003007, GC_00003060, GC_00003149, GC_00003175, GC_00005753, GC_00006022	1	1	1	1	57	3	36	17
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	0	1	1	NA	M00039	GC_00001447	1	1	1	1	57	3	36	17
Multidrug resistance, efflux pump MepA	0	1	1	NA	M00705	GC_00001257, GC_00002379, GC_00003865, GC_00003878, GC_00004590	1	1	1	1	57	3	36	17
NAD biosynthesis, aspartate => quinolinate => NAD	0	1	1	NA	M00115	GC_00000792	1	1	1	1	57	3	36	17
NAD biosynthesis, aspartate => quinolinate => NAD!!!NAD biosynthesis, tryptophan => quinolinate => NAD	0	1	1	NA	M00115!!!M00912	GC_00000048, GC_00002718, GC_00009341, GC_00010025	1	1	1	1	57	3	36	17
Ornithine biosynthesis, glutamate => ornithine	0	1	1	NA	M00028	GC_00000851, GC_00002361	1	1	1	1	57	3	36	17
Ornithine biosynthesis, glutamate => ornithine!!!Arginine biosynthesis, glutamate => acetylcitrulline => arginine	0	1	1	NA	M00028!!!M00845	GC_00001882	1	1	1	1	57	3	36	17
Pantothenate biosynthesis, valine/L-aspartate => pantothenate!!!Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate!!!Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	0	1	1	NA	M00119!!!M00913!!!M00914	GC_00001938	1	1	1	1	57	3	36	17
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	0	1	1	NA	M00004!!!M00007	GC_00002421	1	1	1	1	57	3	36	17
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P!!!Pentose phosphate pathway, archaea, fructose 6P => ribose 5P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0	1	1	NA	M00004!!!M00007!!!M00580!!!M00165!!!M00167!!!M00611!!!M00612	GC_00000904, GC_00002508	1	1	1	1	57	3	36	17
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0	1	1	NA	M00004!!!M00007!!!M00165!!!M00167!!!M00611!!!M00612	GC_00000132, GC_00000133, GC_00001436, GC_00001635, GC_00002563, GC_00008275	1	1	1	1	57	3	36	17
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0	1	1	NA	M00004!!!M00006	GC_00000354, GC_00001002, GC_00002019, GC_00003937	1	1	1	1	57	3	36	17
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P!!!Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0	1	1	NA	M00004!!!M00006!!!M00008	GC_00001386, GC_00002330	1	1	1	1	57	3	36	17
Pentose phosphate pathway, archaea, fructose 6P => ribose 5P!!!Formaldehyde assimilation, ribulose monophosphate pathway	0	1	1	NA	M00580!!!M00345	GC_00001680, GC_00001928, GC_00002937, GC_00003094, GC_00003220, GC_00003934, GC_00004152, GC_00004157, GC_00004192, GC_00005532, GC_00005625, GC_00007553, GC_00008319, GC_00009444	1	1	1	1	57	3	36	17
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	0	1	1	NA	M00878	GC_00001920, GC_00004174	1	1	1	1	57	3	36	17
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	0	1	1	NA	M00024	GC_00000550	1	1	1	1	57	3	36	17
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine!!!Tyrosine biosynthesis, chorismate => HPP => tyrosine	0	1	1	NA	M00024!!!M00025	GC_00001137	1	1	1	1	57	3	36	17
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate!!!Methanogenesis, acetate => methane!!!Methanogen!!!Acetogen	0	1	1	NA	M00579!!!M00357!!!M00617!!!M00618	GC_00002072	1	1	1	1	57	3	36	17
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	0	1	1	NA	M00093	GC_00001843	1	1	1	1	57	3	36	17
Photorespiration!!!Formaldehyde assimilation, serine pathway!!!C1-unit interconversion, prokaryotes!!!C1-unit interconversion, eukaryotes	0	1	1	NA	M00532!!!M00346!!!M00140!!!M00141	GC_00001883, GC_00007133, GC_00011740	1	1	1	1	57	3	36	17
Proline biosynthesis, glutamate => proline	0	1	1	NA	M00015	GC_00000414, GC_00001895, GC_00002047, GC_00002233, GC_00008905	1	1	1	1	57	3	36	17
PRPP biosynthesis, ribose 5P => PRPP	0	1	1	NA	M00005	GC_00000766	1	1	1	1	57	3	36	17
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0	1	1	NA	M00046	GC_00000862, GC_00004272	1	1	1	1	57	3	36	17
Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0	1	1	NA	M00053	GC_00000400, GC_00000418, GC_00000815, GC_00001581, GC_00001646, GC_00002417, GC_00005216	1	1	1	1	57	3	36	17
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	0	1	1	NA	M00052	GC_00001414, GC_00002436	1	1	1	1	57	3	36	17
Pyruvate oxidation, pyruvate => acetyl-CoA!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00307!!!M00173!!!M00614	GC_00001348	1	1	1	1	57	3	36	17
